質問,メンバー回答,参照先雑誌
生年月日、血液型、身長、体重、靴、視力。,aki：1970.10.10、169cm、51kg、25.5cm、1.0、O型。 / Kouichi：45年8月3日、O型、180cm、140kg、25.5、0.1。 / Junji：S49.8月9日、A型、175cm、52kg、25.5kg、両方1.5。 / Tomoi：1970.11.17、O型、177cm、65kg、26.5cm、右1.5、左0.004。,ROCKiT! No.28 (1997年11月）
今一番気に入っているCD（レコード）3枚。,aki：ピーター「ホモジェニック」、クールシックチャイルド「SPIDER」、SPEED「Starting Over」。 / Kouichi：イングウェイ「セブンス・サイン」、Cocco「ブーゲンビリア」、ナイン・インチ・ネイルズ「ダウンワードスパイラル」。 / Junji：Björk「Homogenic」、RADIOHEAD「O.K Computer」、J「Pyromania」。 / Tomoi：Rush「COUNTER PARTS」、LOUDNESS「THE VERY BEST OF LOUDNESS」、TOTO「TURN BACK」。,ROCKiT! No.28 (1997年11月）
10代の頃好きだった人（ミュージシャン）を3人。,aki：モーリー、デッドエンド、バキ/ガスタンク、藤井フミヤ/チェッカーズ。 / Kouichi：イングウェイ・J・マルムスティーン。 / Junji：Nikki Sixx、Bono、Daniel Ash。 / Tomoi：DEAD END、TOTO、MÖTLEY CRÜE。,ROCKiT! No.28 (1997年11月）
自分たちの曲の中で（良くも悪くも）印象深い曲。,aki：奈落の底。 / Kouichi：こもれび。 / Junji：eve。 / Tomoi：Four leaf clover。,ROCKiT! No.28 (1997年11月）
好きな小説、映画、マンガ（作家名も）。,aki：「斜陽」太宰治、「ジョー・シャンクの空に」、「時計仕掛けのオレンジ」、「妹の恋人」、「湾岸MID NIGHT」、「イニシャルD」「サンクチュアリ」。 / Kouichi：？ / Junji：「Fifth element」はおもしろかった。 / Tomoi：「ロッキー」、「ろくでなしブルース」/森田まさのり。,ROCKiT! No.28 (1997年11月）
主に作詞＆作曲をする場所。,aki：部屋。 / Kouichi：部屋。 / Junji：家。 / Tomoi：してません。,ROCKiT! No.28 (1997年11月）
ライブ中の失敗談。,aki：「やんのか、やんねぇのか、どっちだよ！」と逆ギレした。 / Kouichi：ダイブ失敗。 / Junji：特効があるのを忘れて前に出ていた。 / Tomoi：曲順、曲の構成の間違い。,ROCKiT! No.28 (1997年11月）
バンド名を決めた人。,aki：僕。 / Kouichi：akiらしい。 / Junji：aki。 / Tomoi：aki。,ROCKiT! No.28 (1997年11月）
メジャー・デビュー後、一番笑ったこと。,aki：こういち君。 / Kouichi：いつもわらっている。 / Junji：わすれた。 / Tomoi：東芝EMIの社風。,ROCKiT! No.28 (1997年11月）
メジャー・デビュー後一番怒ったこと。,aki：加トちゃん（マネージャー）。 / Kouichi：特になし。 / Junji：あまり怒らない。 / Tomoi：ディレクターの酒ぐせ。,ROCKiT! No.28 (1997年11月）
